hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;519419,38410140557;24023,237573393446;2131,521026030094;978,0301762967797;9336,576006371324;659,1661773028738;6947,212052047759
2;432016,3582581562;11945,551521068035;1638,4317086285685;1130,399724401604;10170,23086263955;1368,5014505526897;2871,3863540606358
3;455649,3386322312;12724,997972209034;1592,2742192656108;1156,445801000719;7350,721655989796;1379,1856098747237;3198,3659074896545
4;251428,46096364508;7217,7987205900645;1553,7565902110048;1146,678522276051;7273,6145890114585;948,56753633014;1702,2486693263013
5;196586,85575489342;8217,880958792732;1528,6087166960142;1162,9573201504982;6263,391793091776;710,7288592483419;2197,642603310402
6;266026,2567601394;6439,802313901698;1643,206621321288;1082,2144826932406;7151,848434378899;723,7356619012529;1730,3321041737995
7;163246,16022794586;7018,672570804342;1801,0970676938878;1028,8200256650543;5761,590641498549;614,5714253500366;1931,6265047214802
8;151141,12559773418;7820,8642610332545;1973,6305796574948;1063,98222907386;4215,07776251959;726,522833898305;2116,933170851752
9;149805,83341644667;6022,011672044068;2356,8969051264667;1414,9531112469385;7589,119613490493;942,0641350036847;1597,0424571637393
10;445844,83060929086;14665,123470439084;2707,6938242849433;2211,3119032648888;9900,456556881592;1554,7774456890202;3871,5042381419976
11;525755,2438490546;15055,637369921526;2906,330192302085;3339,7581719215586;13195,486927352325;2957,189488872513;3239,7540625744914
12;1046034,5543962211;23382,439285681357;3283,866622539793;5131,728241940691;12249,097860079391;5310,956240383198;4263,028563965127
13;805378,6681513782;28969,387725225257;3658,5381051618688;6546,68135318763;21509,536870482458;7284,274014296245;4497,158980642187
14;835568,0934059042;34071,47177065624;3786,505765326758;7701,824850358392;24643,780006608074;8645,8075348563;5027,591419641402
15;1179527,7483940239;33388,39353863183;4013,4732819873693;7903,681944001539;22942,483887392285;9442,009668680914;4338,724040161375
16;1068600,3339554528;33375,61674704602;4017,929867167242;7450,48021117693;26024,18435579652;9014,643295799555;4613,03537131255
17;1740539,8241822058;68977,68280744343;4304,7429562432735;7628,895835880873;26068,06106605665;8453,49266705969;15724,947553975213
18;1680149,5655000324;57560,896313916826;4408,517725431717;7003,138845587125;22756,9844327792;7716,7502025055255;12973,714115159799
19;1943055,6871490271;55196,23885086053;4547,945176059133;6385,195678273116;14065,509169654933;6471,348848489315;12881,168578055049
20;1119477,3193064306;41825,6020514133;4553,038416264701;5592,0926458300555;19385,580099053885;5212,476163154017;9626,72202940031
21;959185,9095028705;28610,90511959808;4716,658757868564;5157,7743185398085;20396,195590028656;4094,8201923360352;6401,223021280678
22;547482,0753166708;14817,596683303556;5630,8953747679725;4860,197893394915;15229,268294910084;3023,152559469418;2902,363016227396
23;516306,86697393947;17344,665859271354;9975,74759763009;4996,93979554027;11148,77564284773;2188,3945463522477;4237,32454365049
24;193237,7115555826;7792,817126792225;13144,06133300607;4931,173452127505;7791,271297079324;1573,358592336035;1730,9788387441151
25;183388,44333047446;12739,675207606011;15575,446876138956;5252,191346211601;4198,148778723711;1187,799799410464;2030,2630063062275
26;169683,8308105423;18678,120464360218;17457,399132096234;6264,081422087231;3218,6205656533107;1043,3313842299192;2905,301157604142
27;532722,5182429733;11509,93294483915;18710,336222665897;7561,82718863815;3829,087563728214;1037,292511569639;2004,3820603444592
28;703387,5730485392;35612,66484172331;23221,03707972181;10356,571207723222;5450,105905532653;1254,2273986735445;5086,871577163753
29;1540390,8553957434;34634,549550113465;30495,775730836773;15098,25945259216;12673,32103388056;2137,296393072955;4631,228284006481
30;2119194,616754516;101957,99421561342;39716,13214047859;24000,15728225479;16235,813926093097;4056,264313043477;12768,74861013515
31;2223358,3998953495;128659,35467140027;45177,67727841145;33294,69971664909;21094,985115368603;6480,174893146647;14925,734242264416
32;3013983,030851459;207860,69001189308;46679,86481154108;40852,619993797365;35029,1500042391;7932,756032277082;24679,398047801587
33;2867584,3580995966;165607,65293935302;49358,59083215686;45253,1046352179;41120,45007159112;8082,334262785558;19463,120830634725
34;3078184,0048613288;150568,21047838178;53318,58509198576;42141,90078545357;25511,453593203554;8202,647187324981;18386,267308024624
35;2771156,183726555;167261,96029093603;56512,36502838957;42447,2910335782;31486,077415933454;9456,410057332352;20789,13501214366
36;2766242,2826639432;175204,31793863923;58600,9118401852;42999,46785747945;26685,497564651876;10646,067971407518;21561,430815145264
37;3206778,688565633;169388,95677081068;59979,26997081696;41604,70045559682;34792,219991126854;11170,985364185704;20630,65606779963
38;3211368,7107406287;203114,22085364326;61555,309486927326;40759,50526995552;38424,7558879285;11473,39352586588;25014,88126773552
39;3923025,3430838427;186156,37058801274;63930,66938779897;38854,23476673025;26233,5844444424;11654,55970567428;23252,056282355446
40;3729885,639291119;234834,2586914457;64838,5394544414;34329,38010954894;38681,841430030916;11717,271075607961;29428,22646526634
41;4566257,53072102;291767,1764084825;63232,2588246105;28771,798515212715;24713,311311027937;12053,125301252763;36996,34514711973
42;3992358,075975485;248052,58244835358;58375,85428860167;23011,057523403393;28512,924951041852;10586,608302137069;31738,205497357525
43;3152450,0649134405;187273,6009034421;51488,5202206227;18846,28987520485;23617,748707051956;8720,596650110538;23992,29841497268
44;1709850,2916718218;154615,19521728414;46244,07444645219;15963,640347597766;22967,475566858797;7031,5704198968315;19970,698472775348
45;920613,7279375213;96574,73969026179;41869,6177648952;14227,018190351755;18612,569402467976;5785,240008548268;12458,487975027241
46;974336,4144855138;99696,81063327314;38537,36536040252;13543,959831539953;19552,221823770982;4305,251678113486;12867,385111719896
47;550291,402007723;63428,85765180848;35072,68871056506;13416,334056204292;12335,373567181277;3448,196289019897;8051,583124683367
48;336961,08884570666;45133,42775255211;31645,25637973084;11799,523851314207;8900,066773599154;2491,7317653647747;5825,943315055375
49;177289,0645274268;17035,717104519405;31118,424345967433;10995,351236316523;4486,691564787133;1929,1875506263814;2361,215484662899
50;158848,4026287823;22515,2610019316;32265,995029784408;11515,62161638385;3497,791168169907;1603,5529556374354;3219,4035750523144
51;476525,9912066295;14908,958852430986;33746,53629204037;13197,547012771724;3921,888778010353;1541,770643036109;2367,7385019867065
52;622881,573204562;37969,47841373788;37129,72109858873;15379,557079862605;5328,148083036902;1619,8114589535735;5288,208202378125
53;1361879,874723638;35753,831149460304;45443,48075163952;20722,909694171107;12009,250012099119;2252,4995022844505;4985,943668772575
54;1890048,012757405;102080,18625073643;59030,65398252998;29948,43002557776;15515,332683168039;4144,060230950627;13087,171556021398
