hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;923335,150047635;38781,65779548889;2287,6111015830816;890,3157262115807;11592,18431201039;831,3931307506052;12172,00455288906
2;767964,9646988369;19284,173910910653;1758,413133191177;1029,0200404149825;12627,240497475928;1726,0635399515738;5030,871018889882
3;809975,6445996648;20542,464990358556;1708,8755570666924;1052,7301795950511;9126,57061907616;1739,5392566585958;5603,762213691763
4;446946,6154632193;11651,976514966509;1667,5373038869502;1043,8388774025252;9030,835380423201;1196,409283292978;2982,4594956881624
5;349458,56760786637;13266,448628095759;1640,5478658605073;1058,6577143900686;7776,554492172095;896,4281113801453;3850,4245404791463
6;472896,08593867905;10396,026299341753;1763,5377100316402;985,1562829318555;8879,651937317061;912,8333317191286;3031,663650428733
7;290191,168182017;11330,519335203366;1932,9903842229803;936,5504976127146;7153,524011482146;775,146661016949;3384,34560998044
8;268672,90315624303;12625,52894919886;2118,1584273917424;968,5591855058074;5233,391585870432;916,3487360774818;3709,0159334022674
9;266299,24856362614;9721,570424975129;2529,4911284529776;1288,0533109572332;9422,56275378047;1188,2066731234866;2798,1308061590357
10;792546,8632264661;23674,48593144905;2905,9767069990576;2012,9908163878345;12292,291853255947;1961,0097312348673;6783,147953473429
11;934597,960389026;24304,907887184243;3119,159103562356;3040,2325963643116;16383,363284806768;3729,8440242130746;5676,277174852306
12;1859461,7409385827;37747,19190245254;3524,342312415034;4671,49017195304;15208,337612524669;6698,603004842615;7469,126133034138
13;1431664,7706346256;46766,42263026263;3926,450775163434;5959,543482910273;26705,99111477947;9187,509290556904;7879,339104282507
14;1485330,3794864465;55002,91768590295;4063,789434487867;7011,088155546319;30597,430983937935;10904,78431961259;8808,694076338585
15;2096763,1626472408;53900,19761493059;4307,377653637916;7194,841734191855;28485,12148527383;11909,018164648913;7601,749935789988
16;1899575,3333323486;53879,57153747158;4312,16059202235;6782,285312458657;32311,324988546614;11369,989496368038;8082,362697667175
17;3094034,70281619;111353,3878184171;4619,976840906214;6944,699765842131;32365,80180231571;10662,221418886198;27551,215046690522
18;2986683,205609006;92922,82009983105;4731,350977572297;6375,063672040977;28254,807517264053;9732,982866828086;22730,860393279465
19;3454032,847750633;89105,460501416;4880,988621313842;5812,540619993848;17463,572794314117;8162,18301937046;22568,71409767927
20;1990015,756506555;67520,71534457547;4886,454836610336;5090,566881960755;24068,911060127655;6574,392050847458;16866,694652960683
21;1705077,0394458477;46187,71005271787;5062,057003010233;4695,20031113311;25323,67951399746;5164,7149031477;11215,393336974686
22;973220,2140192342;23920,629439218268;6043,242648731053;4424,311971000824;18908,4826055271;3813,041927360776;5085,144311557835
23;917802,2482020743;28000,176657135897;10706,265935097163;4548,790201696184;13842,190329404475;2760,178322033898;7424,090880050163
24;343505,03053078614;12580,251356661363;14106,593487972976;4488,922100266511;9673,551935847407;1984,4457602905568;3032,796774921755
25;325996,6821078205;20566,159029049646;16716,02801513718;4781,149565660859;5212,372756243492;1498,148157384988;3557,163704113136
26;301634,9604533091;30152,824901253065;18735,79456719202;5702,288472806528;3996,201905497176;1315,9330314769977;5090,292142075579
27;946983,1919472617;18580,937700510054;20080,483530129746;6883,646157453452;4754,150638871685;1308,3163220338984;3511,818464940992
28;1250362,4049879913;57490,92631073124;24921,50045208796;9427,744091474828;6766,78818164147;1581,9319612590796;8912,557085248085
29;2738244,018481144;55911,91630394681;32728,964087762728;13744,174929206336;15735,048177165638;2695,729242130751;8114,237961367461
30;3767142,5813772916;164594,802390984;42624,5219666985;21847,707747474324;20158,197968756613;5116,085142857142;22371,74640026267
31;3952307,181081744;207699,859347054;48486,01295682111;30308,67091388185;26191,288471233493;8173,315133171912;26150,93706525106
32;5357744,741942386;335557,69177854154;50098,20483083105;37188,76055045829;43491,78573227475;10005,426704600484;43240,04264586355
33;5097502,162228176;267346,9512586124;52973,09243833129;41194,5885649309;51054,673136856516;10194,08673849879;34100,7577700303
34;5471870,278618611;243068,18745026094;57223,07483135601;38362,41243987168;31674,72442980225;10345,83502663438;32214,034595063844
35;4926088,60782727;270017,5647178369;60650,733460714284;38640,41382175799;39092,747964420334;11927,181087167073;36424,02795864715
36;4917353,513000542;282839,2252222374;62892,223370733205;39143,06877237546;33132,403786575676;13427,672847457628;37777,144570013814
37;5700463,964583673;273451,2588384855;64371,51788534711;37873,39081928277;43197,616180270896;14089,74066828087;36146,3616922887
38;5708623,322788995;327895,27982970595;66062,96988115623;37103,99680288954;47707,73055271141;14471,162041162226;43827,832862983836
39;6973685,050402019;300519,5548076465;68612,27604005899;35369,60012186752;32571,313706131936;14699,663324455207;40739,23939739814
40;6630354,24134851;379102,1851823822;69586,62891665917;31250,556192810076;48026,92497537456;14778,759922518166;51560,32431932017
41;8117113,475806127;471011,23472057725;67862,72126752714;26191,40524526291;30683,76024380145;15202,366147699755;64820,20099534176
42;7096932,952361752;400441,04540071235;62650,68498231934;20947,315212111218;35401,31640137065;13352,677554479418;55607,57019076357
43;5603887,807807079;302323,1436719432;55258,9953476342;17156,063957218223;29323,522441209898;10999,114336561743;42036,195721885364
44;3039480,0886205924;249601,39417429976;49630,50178452471;14531,944303464119;28516,150864185845;8868,779295399516;34990,06952916385
45;1636509,9968143513;155904,4027647727;44935,70612174772;12951,070773633039;23109,14995885622;7296,807646489105;21828,147927260452
46;1732009,0220010376;160944,4847501919;41359,43476401598;12329,272373635733;24275,811489757707;5430,12793220339;22544,564494395367
47;978214,1556417695;102395,70100807773;37641,04180857537;12213,0926916534;15315,456528248327;4349,141092009685;14106,940412553415
48;598991,9264715463;72860,66854600268;33962,6205524904;10741,285802050632;11050,219519270931;3142,7714963680382;10207,462795788018
49;315154,2472378699;27501,428524352876;33397,208907759225;10009,235254866011;5570,6241275883685;2433,2457167070215;4137,015743055857
50;282373,58513258636;36347,27187313435;34628,81554175071;10482,845284987883;4342,816882621443;2022,529307506053;5640,621688173958
51;847086,5952635914;24068,118984194418;36217,776000750535;12013,927522540822;4869,371548507383;1944,6045108958835;4148,44452858437
52;1107252,575588245;61295,62320715881;39848,70951144722;14000,244432351079;6615,366765942885;2043,035832929781;9265,31302538817
53;2420917,6572226463;57718,81663659522;48771,281067606935;18864,379485142177;14910,545310643443;2841,032622276028;8735,724285090664
54;3359804,8491696063;164792,0618018772;63353,43528637496;27262,51078272253;19263,656826946793;5226,820380145278;22929,64581632114
55;3585209,891864197;210240,84907435608;73654,17637416339;36926,17075903904;25335,32290885141;8393,6138062954;26624,05393775654
56;4882172,471987317;340330,06385527406;76475,7683825228;45456,486082548254;42333,930102405204;10730,771803874093;43461,83983569412
57;4631512,939753025;270039,6709459208;79780,43716770996;49174,235905983034;49321,89812705401;10878,41878692494;33684,41492222547
58;4911094,163371459;242830,43835269788;84771,7750103218;44691,24134051153;30463,495900318572;10455,398462469737;30596,353384593098
