hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;556469,6682553573;23986,29857050927;4501,685246546704;2640,6213136131055;7779,077386489558;631,1632826402778;9906,60931852566
2;462832,16783813766;11927,183607053877;3460,300771203089;3052,009720660686;8473,664528082782;1310,3643626908095;4094,5493816961953
3;488150,8932287932;12705,431553013435;3362,8180411031376;3122,3325252842033;6124,497092881604;1320,5946343615117;4560,816809075569
4;269362,9012410514;7206,7003710465115;3281,470383571454;3095,9614735503837;6060,252787403834;908,2702065901673;2427,378407864369
5;210609,43382877752;8205,244846465604;3228,3591030342395;3139,9132264400832;5218,552221619086;680,5354633119275;3133,8019524431465
6;285001,9606076708;6429,900239898558;3470,3851915582554;2921,912532107177;5958,799284610566;692,9897070849565;2467,424920806842
7;174890,54010404643;7007,880404863181;3803,843357969123;2777,750782628965;4800,45998007256;588,4630182756079;2754,4674019190866
8;161922,0510351471;7808,838616004666;4168,227080135837;2872,686568870715;3511,9315777363654;695,658473607748;3018,7116385593044
9;160491,51220681577;6012,752008110657;4977,669887310603;3820,2863611726207;6323,1262433232005;902,043084703653;2277,3560918665116
10;477647,0277706889;14642,573843790458;5718,5386360702305;5970,406112536687;8248,89313437854;1488,7269252973997;5520,700919296689
11;563257,466092333;15032,487274913241;6138,050522845192;9017,141622850608;10994,256769316398;2831,5612806821773;4619,835632708449
12;1120648,399511532;23346,48559752531;6935,392025593756;13855,350580948652;10205,7413877654;5085,334609179914;6079,008123045508
13;862826,4828072794;28924,843342168413;7726,682876129221;17675,636942121273;17921,382715553376;6974,821307316562;6412,87421929049
14;895169,3255474847;34019,082237806666;7996,945341647706;20794,4533271743;20532,781143344986;8278,513753700388;7169,26209167291
15;1263663,6886055614;33337,05433168882;8476,291455863327;21339,45506300657;19115,28996031571;9040,891390377934;6186,948618346059
16;1144823,8004488167;33324,29718616195;8485,70358152815;20115,83826255735;21682,910725073423;8631,680523549847;6578,112033108734
17;1864692,8632120905;68871,6202163217;9091,441097528535;20597,549474228457;21719,468058762475;8094,368863627751;22423,514757350782
18;1799994,9558113855;57472,38858849225;9310,60916658084;18908,044093148426;18960,734948756643;7388,924912769765;18500,301442683874
19;2081654,2214728242;55111,36710866181;9605,074240951726;17239,635553455464;11719,144602524284;6196,431071502262;18368,333039617846
20;1199329,8509095064;41761,28948612773;9615,830955997237;15098,306152669338;16151,737817977822;4991,0381920412665;13727,54616511276
21;1027604,8241435497;28566,91195241972;9961,390426834305;13925,673385572176;16993,76557064787;3920,8628164017277;9128,038003948379
22;586534,0766099415;14794,812608303304;11892,220777503682;13122,235342748478;12688,769043905724;2894,7220883882524;4138,721588874988
23;553135,1346850393;17317,99607089486;21068,37100601562;13491,430067021949;9288,971506378706;2095,4265148120858;6042,354615816306
24;207021,394532258;7780,834608056231;27759,720059014337;13313,864985347565;6491,555610724436;1506,518702116012;2468,3471535921512
25;196469,5761181921;12720,086220160025;32894,70690386553;14180,593552332426;3497,826634453849;1137,3393331298032;2895,1214194480626
26;181787,41096232645;18649,40030773702;36869,313113182165;16912,634511956105;2681,700276512279;999,0082683650913;4142,911329813359
27;570721,7175032337;11492,234853774318;39515,465014378075;20416,468252322895;3190,331065431257;993,225940899042;2858,2156191764943
28;753560,3433560854;35557,905514414386;49041,88077655948;27962,10518842639;4540,936160619317;1200,944935256343;7253,7946144338175
29;1650267,2301469396;34581,29420841296;64405,83133500213;40764,371770137855;10559,196968900234;2046,499128560901;6604,054825278394
30;2270357,1746635055;101801,21989945853;83878,84704083025;64798,94832034075;13527,405858157803;3883,944879503105;18208,024027392516
31;2381950,980406584;128461,52337331799;95413,4070430707;89893,6411502432;17575,985197069607;6204,8821654911035;21283,849812338754
32;3228971,017719572;207541,07586311744;98585,96568680633;110299,56098187255;29185,695963913913;7595,754318286136;35192,41284766738
33;3072129,699600129;165353,00859548064;104243,32550605522;122180,59882301593;34260,86426714679;7738,978121675968;27754,087933953768
34;3297751,459502176;150336,69132763732;112606,67145394067;113780,53981073668;21255,712116298364;7854,179876576482;26218,512646794945
35;2968823,285079873;167004,77222397702;119351,80408216691;114605,07469494744;26233,66774376434;9054,68001741236;29644,962193817704
36;2963558,8745132894;174934,9174140063;123762,72954551716;116095,91815296604;22233,905717764857;10193,798528224026;30746,243217249063
37;3435518,8266252456;169128,49815678797;126673,76555470876;112330,13196537664;28988,289879935746;10696,416223349826;29418,973844093172
38;3440436,255961124;202801,90504828998;130002,29656660435;110048,15695534345;32014,85741723614;10985,977391072747;35670,80636263528
39;4202855,492195171;185870,12978932564;135018,95954595492;104904,04379713316;21857,379341105945;11159,447215054217;33157,04713141266
40;3995939,0963382693;234473,1690034882;136936,34400281738;92687,21456391245;32229,05674744002;11219,494461817036;41964,163515428976
41;4891969,554976758;291318,5445978062;133543,94499533912;77682,08612736927;20590,713451451993;11541,080827813452;52756,17540388969
42;4277133,742203487;247671,16778555076;123287,41719944359;62128,43981476266;23756,487341608226;10136,864842404464;45258,15535466872
43;3377314,9318422126;186985,6422108317;108741,64927915017;50883,823355462104;19677,909199415983;8350,125655395303;34212,62015178557
44;1831814,2404696797;154377,4532757736;97665,59425572473;43100,84695375424;19136,11260541127;6732,853142583432;28477,885244563193
45;986281,2814792948;96426,24286184477;88426,92062101074;38412,07395548117;15507,678365645133;5539,469712474997;17765,59750062114
46;1043836,0175484279;99543,51319514583;81389,33980248462;36567,85840422941;16290,580887590038;4122,354688872513;18348,678044921493
47;589543,7931119455;63331,327135841115;74072,08439277518;36223,27666157418;10277,624849289376;3301,7089831140124;11481,42417624362
48;360996,5878522689;45064,02895429145;66833,48746183608;31857,988564569285;7415,3852685938;2385,877271375934;8307,698671313437
49;189935,12745689013;17009,522366972666;65720,83974931596;29686,771971818165;3738,2356088539864;1847,2312281924412;3367,054171970128
50;170179,08961301835;22480,640718610193;68144,46210800784;31091,469994172938;2914,300505924811;1535,4303394462572;4590,816174569942
51;510516,6814298932;14886,034295640193;71271,30471280005;35632,565102736626;3267,6514692889805;1476,2726815243707;3376,3558866321823
52;667311,8351236746;37911,095164254926;78416,45268178127;41523,85806007185;4439,32296340068;1550,998144162543;7540,897307221392
53;1459023,027032733;35698,85475970787;95974,77310950836;55950,581428586585;10005,904213072206;2156,808144836298;7109,873088751781
54;2024865,4995141232;101923,22404766895;124670,32737748222;80858,91882623674;12927,113059127028;3968,01102497105;18662,089874140253
55;2160711,155693108;130033,11524762808;144940,68458605887;109520,73592066712;17001,579013496295;6372,124867586062;21668,91243678561
56;2942356,1918032262;210492,76870012097;150493,166433614;134821,12295409333;28408,702749804477;8146,409810822192;35372,93020600805
57;2791290,322882;167018,44483668183;156996,27297331629;145847,73871906096;33098,06435542842;8258,498004779449;27415,232824440536
58;2959786,5300818984;150189,6444719023;166818,49839924928;132551,45443486926;20442,902363626003;7937,356433203497;24901,906521286255
59;2617304,4386891406;165668,36977946392;171271,10613340084;130503,30275020935;24753,050370432993;8332,778672997158;27418,37607421621
60;2565819,0475734803;172300,97819284652;176030,28024634952;131997,66234845907;20874,928534528357;8873,648688282976;28485,15548649713
61;2986592,3390042405;166232,79357356526;177937,58028285677;130408,36696396755;27559,549706959595;9144,973284766822;27176,369119314695
62;3001019,8328264174;200919,95908634661;180063,37609372605;130788,11010893455;30115,428963738344;9394,05816022739;33562,511481263864
63;3698737,5552568994;184594,83050289494;182763,31157014956;122572,64845879209;20682,62017645625;9927,811464785767;30252,750792784704
64;3541171,2864604034;233709,68499819815;183605,69681715118;108750,70121003958;30787,43127321245;10117,293887903992;39072,80528098244
65;4383856,842222082;291323,3998918107;176501,55882428095;90728,72445514747;19834,417942594562;10393,511223012949;50108,792848292665
66;3859007,9286114005;246809,29028239517;159893,1907940107;72376,23051852484;23048,394429701177;9425,63856408043;42934,84150380618
67;3037272,707524452;185307,6186738725;138801,96176852338;58181,5724052677;19041,44466743641;7721,186344857355;32308,870536520328
68;1620292,7844213217;152439,31273524975;118721,86395731416;46836,74594937865;17879,315920238576;5677,800777239709;27023,888774651867
69;860779,2473164254;94764,82929759324;101767,26416151648;40980,614394355165;14036,279460172073;4322,956972502368;16591,310521108007
70;912263,6972754556;97730,14556762193;89307,62666536203;37504,90977583779;15131,542970507979;3472,5100405726917;17352,444022952586
71;520338,41013127397;62028,1095570298;77146,48801172053;36912,440146884655;9451,545979256602;2964,5548124013058;10698,976923367616
72;314213,92657523195;44151,39053327654;69745,19576571809;32886,45958218824;6894,329849304946;2318,268519465208;7690,366271800239
73;304662,05860326975;26437,43837952047;67788,14592212527;29786,981968406686;6629,824086749863;1973,9976380250548;4805,529011474869
74;166139,28158145622;18462,91184395204;70112,26866664617;30623,823343426546;4919,944961275165;1626,6131956416466;3409,9352649973093
75;235464,93968756875;22546,71688067585;73272,05371126522;34989,111440431436;4928,0127594666155;1611,4901853458264;4279,565150666225
76;284065,22536620096;17376,685862833838;80965,79414756759;42137,42453041205;4880,7241797049155;1434,0172115801663;3257,821264596016
77;231971,97865879335;25683,016331844454;98349,99025049541;56899,939291004084;7986,4544018356855;2174,155127234446;4880,755984546998
78;691763,1628908059;58004,063899031826;131021,49531716657;82115,9389588821;15466,394149834936;3788,75887352353;10346,194893080828
79;1845943,7134030499;108961,2434453764;157410,4065025685;113321,68351056825;21068,161395466017;6324,5318645962725;18008,5305233347
80;2182181,3840787807;134259,7461413212;165011,37027160334;134569,71892756422;24266,573468007395;7951,145060237919;21695,900422196002
81;2362100,755791521;103172,28915024224;171311,44381482148;148669,4412545796;15792,9606245287;7786,126330245289;15946,18956593259
82;1011176,2560307264;73242,62852514963;180781,386823014;136308,45027188075;26885,386316989006;7137,171270786399;10612,040211485571
83;2931098,302938378;62515,654947864314;183761,66918531107;134443,1378792419;6597,925736273839;7447,637776271185;8304,924302904059
84;3003340,047730208;68824,42804340772;186318,40589269123;134717,39681727363;9031,058541115819;8015,195456784923;9155,452545295633
85;2935004,7878813758;80568,67458793752;189340,37052578968;134376,3312148496;8869,473269670174;8333,223467417623;11421,289740536442
86;1772579,2338954543;101553,43395129887;192037,6168234518;136668,85464557627;28768,72375021919;8813,60144152016;15300,759941066193
87;1346701,9319421793;149689,07490577377;195559,7687061666;130074,33364200585;32548,101865924054;9257,951067565007;24469,464393182872
88;2962247,296013315;179124,6731585227;196917,1316859721;117041,75987515236;21745,07891078934;9562,635245583742;29831,95435678917
89;3017077,220571256;214401,35459124044;189146,07736028012;98706,84663968558;27857,940703948265;9886,445583682493;36828,34842057987
90;2548178,789224169;157666,29564311454;167713,32263209778;77284,7622812464;22501,307637113645;9006,19742558164;27250,057759402385
91;1215110,2465661338;111471,03153430509;143622,98699298367;61840,116315806226;33717,053303447196;7165,638113696179;19149,85805970853
92;1176929,335989487;79382,17995702074;122204,35045329855;50532,20933234452;23440,786521085734;5291,719220275818;13736,727456424158
93;763449,5780650757;43829,943975750895;104951,25181498798;43642,332549355335;22657,51073393654;3992,4747180966433;7211,346449474992
94;867735,3460252227;65149,548221568504;91223,66653284381;39855,449520378876;23391,120129050974;3327,951853921466;11688,743810759168
95;756918,4870137837;53968,05597826596;79321,361334985;37916,29818288537;18189,306641562507;2929,4160531845455;9563,870600660252
96;426927,1178115555;27953,874658056015;68966,67851429913;33151,92816964203;14538,681758272529;2218,1897748605115;4783,34940430673
97;305393,38644256885;27405,678251134363;67043,24340522358;31061,58280220794;10125,814297963154;1733,3638565533215;4844,343324019112
98;190573,7821933321;12164,677238999104;67842,60179204318;31620,649098964914;9221,938794286929;1386,4242085903775;2155,9843526408627
99;261877,8113036513;17591,742833913788;70127,05914983373;35998,24368677892;8150,909348879385;1343,723944225708;3162,941833932311
100;207203,2391964224;19383,999853652895;76088,29616911833;41741,85875440476;6283,3208859036195;1276,1151923149803;3522,621389760018
101;316416,25296733854;20620,370293785192;94797,58510671512;56710,067718520586;8212,49435385514;1735,587828655648;3646,457529782127
102;509879,1886138961;25414,575155814087;128273,1546230383;82370,85912564234;10158,003962874274;3589,0461787346026;3814,7130958158436
103;709727,5585404299;42525,82152843171;157505,87234859742;112191,2444262452;12692,520157236664;5944,677429518897;4880,939156677763
104;666220,2828080156;41688,11835284032;165004,64732469985;136283,83729026248;15151,79713036877;7604,205412274979;3391,2025030862683
105;661049,3757126458;52749,803492205494;171480,18978209802;152287,54955245965;17892,103880190585;8129,50762284451;5638,742401589173
106;676177,4058882778;54322,11856782201;178559,45287142543;142299,95322580446;20417,054841595924;7511,6881728181925;6518,287565014481
107;1021036,4737755117;50641,466350847455;182033,19953643542;138080,58494839337;19503,669210453674;7779,899208358773;5558,09348718044
108;1622997,1508277175;57626,55539838386;184104,53947738683;137939,93933914634;17419,079890652032;8290,523203052953;6429,569136341926
109;1494521,6053844013;76258,31343050713;187004,14647684255;138326,71476457568;21385,527831728672;8867,421566396462;9650,674144928635
110;1496695,5103522285;65030,22915019849;187632,06971762437;141150,17537020994;24591,23152195741;9455,88458467207;7217,934007402992
111;1195163,7275021034;59827,23483093529;186908,68063081364;137808,08408047725;27921,738167295327;9877,549695273188;5945,560300748427
112;1712817,3684635584;99154,99318339248;181967,31465678164;122853,93967728615;28424,21260238954;10382,83615692178;12666,061898686272
113;3044855,9915299616;165930,07877618217;172717,21201233187;103226,84490686221;30456,030679145817;11107,406267859773;24825,387136140573
114;3411931,3514729384;156872,8192289867;155055,3582022917;80674,32146409996;22351,2715215963;10377,498623876196;24551,285296314512
115;2672511,765436693;151092,4189853214;130609,3786719854;63202,6206553869;18910,573641812945;8749,551044973156;24323,881574060983
116;2142653,1719000842;105134,77027605736;113164,00375223624;51349,71193609292;15154,992516283519;6718,61972112854;16920,86391595918
117;1180264,8725039337;91525,96533196462;97153,97799637257;43686,284302245025;18348,734434119146;4930,5461508579865;15059,55863062604
118;1337572,018952067;108814,0016747166;84036,16399837086;38478,88061987352;17519,862345909576;3862,149952900305;18661,167641354936
119;1425252,4453693212;83894,59062846514;72712,70452889861;35122,72476921612;14173,502176728147;3247,888858237709;14221,169220086005
120;801848,6111544207;49843,784524753355;63119,05929768277;29502,17460968143;10818,47369368865;2320,9372859879995;8441,702382134306
121;704151,6936900602;56736,855968227996;58829,14687859459;26483,56822121692;11611,346918140107;1617,2725128118752;10867,109528945894
122;461497,858556666;25330,02692467123;59720,609637991365;26462,47137982986;11573,311407833015;1352,6198326350143;4937,3744540854705
123;487288,13837903633;26756,261982415595;59809,35253711685;28364,703244896034;8063,064559186734;1150,6831657437624;5240,375328699377
124;260935,81210884254;15605,926509244706;62735,85132418641;32624,507134965635;8416,487722320233;1158,6894653121383;3095,8471239041087
125;247176,89733827702;20002,996475505526;74045,86489985176;42441,57066040877;7755,665371147189;1606,597446720708;3942,741513881098
126;477960,857026722;21175,423134351477;97956,02556195353;59389,366574676635;9899,146786763566;2959,6620737761864;3476,5970469571603
127;521596,4140535273;33195,62199685007;119259,02741489938;79295,99449347903;9901,264651531626;4819,792340162122;4084,011631609187
128;629866,7746216181;40522,7010828914;128406,26897172652;96277,19373994306;8889,03260406169;6170,188200694811;4647,680565019281
129;575410,844637514;36195,7398856498;133274,35482451096;110652,93307510577;12857,11859108704;6620,76494862617;3794,1947820875635
130;905038,4503297413;51385,05263207653;138656,07382071865;102896,32772513169;15013,840830169309;6662,130829729445;6851,477349385019
131;941889,4274039023;47957,1135152276;139149,53812343144;102917,42456651873;18274,388297658308;7806,586873586692;5535,976628792406
132;1486629,571354131;57163,04368118557;137769,98941884458;103189,9254344349;15197,814980847808;8919,907308011369;6583,5941861206675
133;996025,2872668346;60693,09401835132;133577,55972985626;102843,58562166405;24662,099769579447;9718,75808716707;6817,035949909909
134;938525,864264547;65112,31036974397;130325,67031266002;101558,43636716928;27529,87158190071;10214,25907156543;7369,4946563852745
135;1364349,843122035;59799,112283390874;124662,25984119804;96461,79110207978;24721,886995227866;10381,501773660386;6347,750770315067
136;1237101,0792801175;59151,250720698954;119129,94683435328;84352,20414590997;28444,753267458047;10183,568256553322;6545,458722555642
137;2207061,4740779386;138523,3668674944;111042,24170950905;71952,53562066813;28850,151504751877;10218,70701577008;22563,985602748988
138;2169244,0376448906;113807,4381477197;98646,47220893734;58775,800104336435;25318,594868805278;9377,155972249711;18658,639193856416
139;2559396,9954098985;110338,45908594396;85761,27217379483;46928,1655953892;15329,931515223197;8236,258283756184;18822,39888636557
140;1427256,9442532854;82645,17942393682;75871,81727882742;39009,81779478107;21966,898403698382;6312,077620823246;14157,584104095009
141;1231284,7739861337;55986,175858999086;67225,4352663069;33211,70255357201;23358,428077567583;4958,123404926835;9574,710648306731
142;715048,2740530216;27904,636123397984;59504,8030423908;29421,30338436439;17705,938332546728;3970,6797914938415;4504,685107149278
143;729530,7763238187;36918,1639812754;53803,74406826951;27902,33080449641;13479,8749859511;3412,017999389409;6538,315276103857
144;305237,25202188455;16743,187758428798;47880,15555164422;24052,15725135878;9673,047079133328;2602,492154142541;3089,3761543000396
145;220540,5620851205;14970,09476036071;43927,06277241861;20602,823684575218;3724,2815117219116;1972,6632547636596;3498,2835143816164
146;188879,3246202036;18178,83653274042;43625,202456453946;21364,0680446248;2752,8684068956177;1576,7962205495314;4733,1353205655
147;481919,6375782491;12096,90757963112;42222,795732395345;22403,08748293728;3092,391932041707;1323,2634008843036;3386,213489818021
148;616832,9546047751;27739,416404910065;42958,95841832255;23123,896230328333;3975,943755003719;1273,8912202126535;7704,779960185971
149;1311774,4974696785;25397,28530218448;45716,71123811565;25822,533857755854;8765,953572216622;1497,6228137067058;6888,693117269506
150;1721738,0751092583;69197,73870047032;50839,59677854065;29256,044793499113;10408,411564970094;2084,751448720918;18262,240844914635
151;1676408,4431132108;82461,69910636659;56169,54908359177;34484,54531725768;12838,559729117196;2796,422521465418;21309,726020701575
152;2313683,5080954386;137539,87821104733;62089,103832074994;40604,38738961935;22387,422372898483;3611,730694178335;35175,16204209215
153;2334790,1078120577;110457,0983559408;64044,1367915968;43404,99308375095;27628,776494618196;4950,561899778924;27309,87969039187
