hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;286421,7074590127;12664,923709799376;1835,5804610072478;1313,6812533785558;3967,7456504126358;296,2266994209917;4056,136229145896
2;238225,34693539326;6297,631542109995;1410,9517074080504;1518,342647047385;4322,022253275012;614,9991941467522;1676,4615980229796
3;251257,20288508653;6708,551586063932;1371,2027278910175;1553,327500665988;3123,8211800605072;619,8006135172124;1867,3689149318484
4;138644,3619496103;3805,1852865245583;1338,0328898112866;1540,2081805590117;3091,0531471745103;426,28253715127903;993,8594715321265
5;108403,23756250596;4332,423349740076;1316,3765492468344;1562,0737140706392;2661,740827355905;319,39876681755976;1283,095681435887
6;146693,97604786587;3395,029698331941;1415,0636708063637;1453,6206678529688;3039,306432952817;325,24397300768516;1010,2560111325289
7;90018,28845780513;3700,2070341987646;1551,032593843938;1381,901717934832;2448,4914160891403;276,1859924834192;1127,7819344336592
8;83343,2493780953;4123,11824782454;1699,6115379696741;1429,1312703199465;1791,2729941870923;326,49651719128326;1235,9734040997807
9;82606,93364127948;3174,7726830304205;2029,6651334076562;1900,5521728306264;3225,1326735132616;423,3599340562164;932,4347265428042
10;245850,73555891152;7731,375480947023;2331,7573777371044;2970,2140722194235;4207,3768171393485;698,7108970839038;2260,3813564307316
11;289915,46957626974;7937,252342025855;2502,8150551069557;4485,932855245413;5607,659148851863;1328,9493787977683;1891,5334278385226
12;576811,3634218957;12327,098243833374;2827,9342944669606;6892,890784205322;5205,474118418033;2386,7229418465095;2488,973198836782
13;444107,2866043604;15272,507893187769;3150,586355787978;8793,442957035948;9140,86398504201;3273,5242238340884;2625,670460747613
14;460754,54119915527;17962,29960002807;3260,786974862786;10345,021215021005;10472,816893925497;3885,3920575218435;2935,363934449018
15;650423,0724364811;17602,184371180017;3456,242301729298;10616,153830565185;9749,820554317066;4243,202179303084;2533,1680731376973
16;589254,7363674017;17595,44851427497;3460,080134234391;10007,417377601485;11059,44451293331;4051,145404484682;2693,3249993998734
