hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;222232,3704267349;15919,851196500176;1766,3647143586606;750,6665783571252;2424,5800415965195;345,0029832613959;2704,0908194305975
2;184837,1899422453;7916,143779311024;1357,7477874557985;867,6146338401926;2641,0687120372286;716,2641216970208;1117,641065348653
3;194948,50540242047;8432,671640299584;1319,497655499107;887,6057544355884;1908,8810508565539;721,8561362248658;1244,9126099545656
4;107573,07983290071;4783,130552117827;1287,5785798662816;880,1090842123149;1888,8574088346659;496,47363764606797;662,5729810214175
5;84109,22712237368;5445,870549914067;1266,7388528002223;892,6035345844377;1626,5164792603516;371,9905316349089;855,397120957258
6;113818,71267248498;4267,563614561997;1361,7046976582144;830,6310607387096;1857,2364175780644;378,79820149489433;673,5040074216859
7;69844,48840560859;4651,172540037407;1492,546528351449;789,6492635181476;1496,2056398077686;321,6624008843035;751,8546229557727
8;64665,37760938067;5182,773341157455;1635,5228836654267;816,6372763219324;1094,5975708662656;380,2569878934624;823,9822693998539
9;64094,07596808136;3990,699814279302;1953,1308759127128;1086,0176263448952;1970,7897130169772;493,06980271607534;621,6231510285362
10;190753,66954242377;9718,364675636589;2243,8318787835674;1697,2461385491322;2571,0120449003734;813,759679334667;1506,9209042871544
11;224943,1532228896;9977,152574267326;2408,439343204088;2563,3614383446698;3426,6859950985977;1547,7723688809347;1261,0222852256818
12;447543,4411711561;15495,203462980406;2721,2990432084744;3938,750535307924;3180,92180461493;2779,717482471839;1659,3154658911876
13;344579,3822732368;19197,593181615393;3031,784597091411;5024,76816165282;5585,7301182540305;3812,5382526581757;1750,4469738317418
14;357495,8573634777;22578,670296935506;3137,8297905161694;5911,374360058638;6399,6498408777525;4525,155408358774;1956,9092896326786
15;504658,1924607921;22126,004257390494;3325,914922137693;6066,3055446729595;5957,846698839241;4941,882056216444;1688,7787154251316
16;457198,1572550598;22117,53726287348;3329,6080383266153;5718,4600463130655;6758,121815195894;4718,201475102642;1795,5499995999162
17;744685,8988894197;45710,51020159277;3567,2864444850907;5855,399222391531;6769,515991810002;4424,4991468575645;6120,683519973787
18;718848,0677487111;38144,77133879874;3653,283292884273;5375,112550087136;5909,675048431747;4038,8932755026835;5049,810048964891
19;831331,8379007106;36577,74712619872;3768,8250707948305;4900,823213961365;3652,6187742022526;3387,058886409095;5013,7881835907865
20;478965,75661848055;27717,219997024535;3773,045775010741;4292,093591831552;5034,167833139516;2728,173696389094;3747,047083907366
21;410385,4512813698;18960,03195696019;3908,6358979468746;3958,7416559033213;5296,610740204545;2143,2003505632174;2491,5733498980694
22;234238,92732508958;9819,406462899393;4666,252304702861;3730,34310310092;3954,8309713068393;1582,2969803137173;1129,6982340595248
23;220900,6872427751;11494,058562632457;8266,776794888247;3835,2964862267495;2895,183297757107;1145,3904539425203;1649,3105884188246
24;82676,30359834807;5164,186911986895;10892,318611198249;3784,8189067233748;2023,285717662593;823,4849219917885;673,7557384759704
25;78462,31719038765;8442,39803137331;12907,17728626865;4031,209468061632;1090,201347217683;621,6861368565112;790,2472985208503
26;72598,8307297248;12377,719593975453;14466,727494047685;4807,864503192773;835,8313775445906;546,0723751973892;1130,8418584463327
27;227924,0853008341;7627,465665430331;15505,020731161738;5803,922086858385;994,3612388744511;542,9116713338246;780,17355557921
28;300942,7304252622;23599,99659741879;19242,981902377713;7948,969326744392;1415,3173491143166;656,4538793557216;1979,983139765601
29;659052,63002551;22951,813776602998;25271,466492765787;11588,352831136257;3291,086713000954;1118,6460366354354;1802,6312989507628
30;906692,4675745033;67566,08434842654;32912,26009363176;18420,81807262777;4216,216991905519;2123,020472049689;4970,030514918029
31;951258,6989254;85260,68874558878;37438,1739831556;25554,64945709489;5478,076743936508;3391,678376671228;5809,602562206439
32;1289525,6008414766;137746,26523512971;38683,01793283578;31355,57287586396;9096,587219598647;4151,949221391726;9606,059695624634
33;1226889,270606595;109745,79024752694;40902,844556391356;34733,072700456134;10678,413850753248;4230,237424781557;7575,707486872314
34;1316993,8376355295;99779,36980459043;44184,44208426198;32345,133345336064;6624,972706481187;4293,208370986419;7156,559531901924
35;1185632,7014011228;110842,07574152073;46831,08742165153;32579,529234317088;8176,50012582129;4949,4191192757135;8091,837230399604
36;1183530,3003074941;116105,36098833768;48561,839944188454;33003,34099093949;6929,855736318657;5572,077780397936;8392,440979808092
37;1372012,772736158;112251,60546671425;49704,0680226193;31932,816483056024;9035,059762353596;5846,815885461627;8030,151844195304
38;1373976,6030041124;134600,84894903336;51010,112183430196;31284,104619735415;9978,379243687867;6005,094209706285;9736,64115597159
39;1678457,2311368966;123363,12747137679;52978,54311212558;29821,7541481822;6812,500130682523;6099,915325613223;9050,489815906469
40;1595822,8599309984;155621,2580750893;53730,88363861166;26348,796722746996;10045,140813875822;6132,73801958101;11454,464959565368
