hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;545169,0456961582;39318,56190717747;3855,9144554249883;1103,7635807656836;6134,462988341787;1004,7182369302031;8227,34015273565
2;453433,1081312667;19551,149405302487;2963,9175182306476;1275,72142224316;6682,2039222065105;2085,905515148963;3400,4823903161146
3;478237,66828409926;20826,86061820159;2880,418773302836;1305,1159250598225;4829,68594755726;2102,1905887567113;3787,7128345426136
4;263892,75856837095;11813,289735076243;2810,7405102941107;1294,092986503574;4779,02385813653;1445,8313176965994;2015,9135380013345
5;206332,4393133936;13450,11305145515;2765,2480906437863;1312,4645507639884;4115,27149888626;1083,311418254553;2602,5912403593165
6;279214,22451136797;10539,95179357342;2972,5553194300755;1221,3415920323341;4699,019157450067;1103,1367252552905;2049,171767261725
7;171338,91438995017;11487,382212255134;3258,17861242452;1161,0828612581756;3785,570269029049;936,7457557848192;2287,5576826101174
8;158633,7855875505;12800,320301358555;3570,2911624305452;1200,7654400606702;2769,456223514255;1107,3850053268761;2507,0098834931723
9;157232,29772152216;9856,158563542176;4263,618672038026;1596,8563655151997;4986,321896944518;1435,918664196231;1891,3215020655462
10;467947,11224019295;24002,242132737243;4898,209133489389;2495,593289134661;6504,952594444762;2369,8322332666603;4584,887006660917
11;551818,9989285854;24641,39182625812;5257,541663385626;3769,110123666571;8669,904910938649;4507,425155953259;3836,7273784526074
12;1097890,6010062606;38269,7745791395;5940,503811553791;5791,451917452963;8048,093585052655;8095,097676408042;5048,555566434891
13;845304,4560508953;47413,87005841443;6618,283279002299;7388,3082829681625;14132,531855179537;11102,879967091276;5325,828026764661
14;876990,4898414871;55764,393454065284;6849,776351146989;8691,954482887151;16191,841231754666;13178,164782061267;5954,000604627084
15;1238001,5776203068;54646,40701817196;7260,359834826501;8919,76187971629;15074,029084301807;14391,75678917781;5138,199070336039
16;1121575,0550028682;54625,49538753071;7268,421782612636;8408,297530706357;17098,816056708045;13740,35384486788;5463,0563817614475
17;1826825,2283020725;112894,99524751247;7787,265707991654;8609,6498750005;17127,644618158978;12885,033457121805;18622,505177792587
18;1763441,1869997615;94209,26959728132;7974,993920725907;7903,446944830175;14952,149335461865;11762,071424865775;15364,31568089318
19;2039380,599031945;90339,06140546706;8227,217715749226;7206,062365504856;9241,540512769281;9863,798279545215;15254,717239435795
20;1174974,2126020293;68455,49100279587;8236,431370361948;6310,999754737477;12737,016604805605;7944,9917805453215;11400,590063803262
21;1006736,5272351727;46827,14562217071;8532,420024795707;5820,846420269628;13401,026978694168;6241,4314718391415;7580,744447562209
22;574622,9148773383;24251,793320035897;10186,271027779665;5485,014225589255;10006,17170908268;4607,967784314139;3437,166967457703
23;541902,2288540622;28387,818930050056;18046,094265846517;5639,335365376734;7325,142696820007;3335,6079028739873;5018,115194550894
24;202817,26486491621;12754,415873172897;23777,563288374142;5565,114245764661;5119,142753344168;2398,1541004105693;2049,9376723843357
25;192479,72967959207;20850,88268378785;28175,931659123242;5927,401492980029;2758,333278180206;1810,4753571744395;2404,36944018046
26;178095,72562080555;30570,269038218026;31580,37703852476;7069,377927407374;2114,7483531481116;1590,2728401305403;3440,64650548565
27;559131,6685144675;18838,177396219853;33846,93607325486;8533,959030247592;2515,8469146270827;1581,0682333087695;2373,7195414431285
28;738257,2612625973;58286,846765802824;42006,77893964853;11687,989182475498;3580,9137029696853;1911,7260322139175;6024,204020988957
29;1616754,088005384;56685,97650308217;55166,756993684874;17039,258420248934;8326,823320311521;3257,7227682282346;5484,601611701256
30;2224251,428080982;166873,49884672364;71846,35110978175;27085,56462041382;10667,508040126926;6182,663597515528;15121,582204963366
31;2333579,0195978647;210575,31426104024;81726,26812168838;37574,992950539905;13860,156586476882;9877,251166438573;17676,024816925976
32;3163398,0228064004;340203,2462665599;84443,72037902864;46104,54280536499;23015,399228522183;12091,31313041373;29226,94758456006
33;3009741,792102974;271048,1771869905;89289,52685190817;51070,74405624014;27017,600333997616;12319,304160922204;23049,492991973217
34;3230781,6915816334;246433,29138550098;96453,14331330106;47559,570694789785;16761,933683130792;12502,688250679017;21774,21304387181
35;2908533,293902394;273755,76336549764;102230,68060889229;47904,22124031516;20687,47434009013;14413,70623621434;24619,84519036476
36;2903375,791439169;286754,9305221355;106008,85485352244;48527,384700028415;17533,32238972096;16227,013780103169;25534,448087501223
37;3365751,3194825198;277236,9945074201;108502,30013309086;46953,30907419612;22859,727770883685;17027,106526918622;24432,164121700604
38;3370568,887107947;332434,7537447257;111353,35038231564;45999,45745779541;25246,433239520815;17488,04491468576;29624,248623488034
39;4117505,1374542555;304680,0315327496;115650,36855232478;43849,249576756556;17236,399373405413;17764,18311933888;27536,596673928198
40;3914790,738982438;384350,5818096718;117292,7024870428;38742,68957493182;25415,347597609776;17859,769420949575;34850,818919528676
41;4792624,874277074;477532,0459222689;114386,94616355501;32470,63753642642;16237,525775339347;18371,687169575744;43813,477068638684
42;4190274,966580738;405984,86317400826;105601,7264903227;25969,30837595106;18734,00727227763;16136,383805242656;37586,44626188097
43;3308729,4122972665;306508,58978546556;93142,56204026665;21269,12737556669;15517,702122544606;13292,160297315504;28413,239530775107
