hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;748850,8363895587;44295,01873759651;1337,414237706236;636,2392070698929;9731,983018063207;1219,4070960101062;9093,943726515934
2;622841,2360375676;22025,691867721478;1028,0273419166663;735,3603618331118;10600,94342695313;2531,623188756711;3758,662572163224
3;656913,0817583831;23462,86681355317;999,0660120977586;752,3041489721235;7662,027094063701;2551,3880676913363;4186,680838530712
4;362486,3049932056;13308,469709629373;974,898281697153;745,950228794994;7581,654517875838;1754,777512369723;2228,25408112123
5;283420,7499012109;15152,461858688706;959,119350278576;756,5400957568766;6528,648460018907;1314,7941204337299;2876,7278176873738
6;383532,0570891933;11873,96841450789;1031,0233415531047;704,01435562594;7454,731527236627;1338,8557121802298;2265,0154717678774
7;235353,2181621759;12941,31284707257;1130,091062864678;669,2795919909657;6005,595867460636;1136,9102100221073;2528,511092360571
8;217901,29860580285;14420,426386256302;1238,346516394663;692,1537046286318;4393,587668184088;1344,0117675544793;2771,078669298178
9;215976,1978155975;11103,629102292447;1478,825420546143;920,4712363268155;7910,521282120914;1742,7467164964733;2090,5384959457024
10;642777,8487307039;27040,148811237283;1698,9315271698392;1438,527528102101;10319,744092148312;2876,2195562690817;5067,823094338052
11;757985,2930858217;27760,194160746065;1823,5651120456894;2172,6171058997866;13754,320063847234;5470,5747520791665;4240,85819060605
12;1508075,8919059944;43113,48889281559;2060,4488166334427;3338,349661063798;12767,851113677958;9824,863515633224;5580,330868668634
13;1161120,4889837618;53414,930780468065;2295,5349214393327;4258,820897390614;22420,472709384205;13475,350720602173;5886,8090383251
14;1204644,810647426;62822,3600540085;2375,82771169589;5010,277857005785;25687,452055392925;15994,083770923255;6581,148395586495
15;1700534,0346657417;61562,87273493556;2518,237561081276;5141,5922073331285;23914,105495625583;17466,996922833983;5679,416717167763
16;1540609,1461778719;61539,31436895885;2521,033827408619;4846,770311114323;27126,316974951762;16676,40176544899;6038,491953441741
17;2509349,367781234;127183,84618631168;2700,9935389040365;4962,835253016555;27172,051878073493;15638,31595010001;20584,054018635252
18;2422284,2772048335;106133,11269924883;2766,106597669305;4555,760767001794;23720,75007915142;14275,398646173278;16982,67235881942
19;2801318,012015064;101773,0614649355;2853,5897870533145;4153,769417128741;14661,188029324981;11971,50123644594;16861,529675932314
