hour;Pas;Tru_sm_35;Tru_semi;Tru_gr_35;Mot;Oth;Bus
1;533295,738200891;39608,919650778655;1674,7653913747604;567,975078613301;6580,10128652063;901,8579310453732;8115,868323743165
2;443557,72954203957;19695,529752669583;1287,3383317511787;656,4612093693012;7167,632881454507;1872,3562120223185;3354,4094208669017
3;467822,0679557538;20980,661773739106;1251,071757415853;671,5870436865661;5180,538667754286;1886,97406432256;3736,393298759913
4;258145,40388454896;11900,52792451159;1220,807926418788;665,9148558175916;5126,196228911848;1297,8110607432359;1988,6000241560369
5;201838,69830304678;13549,43877160791;1201,0488962636798;675,3685022658824;4414,225554162627;972,404957363933;2567,32885904326
6;273133,18162962724;10617,786700853903;1291,0900463375913;628,4784158823609;5040,3795836871295;990,200603642489;2021,4076392962038
7;167607,30190659774;11572,21365616473;1415,1467419949813;597,4704555319677;4060,573165864938;840,8442866617539;2256,5636755467813
8;155178,879755518;12894,847464606513;1550,708695717371;617,8903318602754;2970,6434766891757;994,0139564164647;2473,0425293024855
9;153807,9150758583;9928,94382887924;1851,8463198534541;821,7109492854213;5348,553441669662;1288,9132376039581;1865,6960796162318
10;457755,6312692673;24179,492686393904;2127,4722848019283;1284,1833335357987;6977,505124214939;2127,2152890830616;4522,766597042697
11;539800,8612376549;24823,362340509266;2283,543611596709;1939,5101053313047;9299,73048446085;4045,9672931887567;3784,743747013783
12;1073979,4989273357;38552,387290691826;2580,1791782290966;2980,167506359137;8632,747651047179;7266,343710811666;4980,152934197355
13;826894,46044853;47764,00962755897;2874,563716109636;3801,8784556445585;15159,19017178679;9966,197474786823;5253,668643534896
14;857890,3999913449;56176,19954948747;2975,109667025504;4472,70920761526;17368,09815670706;11829,020304874197;5873,330141889566
15;1211038,9803731688;55049,9570634449;3153,441167033002;4589,9344235740655;16169,082503092173;12918,368080640068;5068,581862652291
16;1097148,1261223683;55028,89100564269;3156,9427673136543;4326,744906453654;18340,960202473638;12333,653988630378;5389,037698267301
17;1787038,5642444235;113728,69654516724;3382,2957568041943;4430,35687152692;18371,883015872678;11565,89896346984;18370,18976672984
18;1725034,972214895;94904,98148550249;3463,8330204822373;4066,958702054627;16038,348795240869;10557,902713548792;15156,145319832129
19;1994964,6639319097;91006,19277437787;3573,383086405496;3708,098282877516;9912,89257642801;8853,96958237709;15048,031822293091
20;1149384,296528532;68961,01767876145;3577,38491529767;3247,5166279167966;13662,297662728419;7131,605246131172;11246,124027099639
21;984810,6815751048;47172,95237813082;3705,9436684587554;2995,2933406764027;14374,54509559919;5602,450783766712;7478,0333121275835
22;562108,1277374099;24430,88674678207;4424,271954603964;2822,4806836016496;10733,070435213269;4136,216642172861;3390,596960468548
23;530100,069787348;28597,45587124203;7838,082113934026;2901,891313767291;7857,277967915747;2994,117486366986;4950,124997421924
24;198400,0812957077;12848,604043702342;10327,469799171931;2863,698582116197;5491,023074257396;2152,6376409095687;2022,1631672077992
25;188287,6886326295;21004,86123627027;12237,842866573423;3050,124490076488;2958,7125045663392;1625,1238405095276;2371,792756331861
26;174216,95566755492;30796,022827488676;13716,518642231666;3637,763153302234;2268,3743280646518;1427,4650550584272;3394,029354406081
27;546954,2672422866;18977,292623659705;14700,968549706435;4391,407848159963;2698,610709867775;1419,2027907148124;2341,558131572176
28;722178,6604271606;58717,28054790554;18245,088262337904;6014,409870402498;3841,0493157445;1716,0087482892934;5942,582375599682
29;1581542,5906126709;57104,58825877461;23960,950491890988;8768,068007860591;8931,725718573865;2924,2060188440887;5410,291012941319
30;2175809,1671696547;168105,81788998764;31205,511358254476;13937,700031643837;11442,449569295126;5549,699403726708;14916,700627885628
31;2282755,6988629014;212130,36027852402;35496,72250219367;19335,354007759855;14867,028191282092;8866,045199494683;17436,533221941405
32;3094501,9661589838;342715,5621336803;36677,01191107919;23724,492980772226;24687,35378487003;10853,43755353195;28830,953102426593
33;2944192,234472896;273049,8001690574;38781,72379405688;26280,002688674147;28980,294942572218;11058,087485735341;22737,19653972183
34;3160418,077254917;248253,13959367885;41893,14575772206;24473,22177947684;17979,60499599597;11222,697213811978;21479,195297210958
35;2845187,969307475;275777,3811941527;44402,54258742082;24650,572186846774;22190,316703970508;12938,07040330561;24286,272113047748
36;2840142,7927606557;288872,5439483204;46043,54254751788;24971,239874372797;18807,031264650257;14565,736478997791;25188,48310030168
37;3292448,184089375;279284,32035717985;47126,53749146242;24161,251446683254;24520,373568243358;15283,91791809664;24101,133925995753
38;3297160,829283407;334889,7012379683;48364,853419284475;23670,418123088;27080,461346842894;15697,666694073057;29222,871129026433
39;4027829,45796312;306930,01734568534;50231,20636887205;22563,963342780073;18488,538264469385;15945,534624381513;27163,504673538424
40;3829530,002719968;387188,91470571014;50944,53236890203;19936,227776013206;27261,646494929253;16031,335061795982;34378,62687997212
41;4688245,6743005;481058,5006201434;49682,455582032715;16708,752878566786;17417,101455706004;16490,844071060113;43219,85041255138
42;4099014,4235240403;408982,9598258068;45866,71173334494;13363,296473445702;20094,93994637705;14484,384953152963;37077,18934137471
43;3236668,1644311603;308772,0790436584;40455,238613902824;10944,675566115022;16644,986186150356;11931,345270975891;28028,26993923051
44;1755529,157017584;254925,70788766455;36334,60542649257;9270,62385305172;16186,695788958179;9620,45348994631;23330,15861959315
45;945208,0393335206;159230,0410383905;32897,53463672674;8262,108849948077;13117,506009382683;7915,249241183284;14554,248115753868
46;1000365,9342016752;164377,6343529039;30279,338084021994;7865,433844977801;13779,741083790992;5890,358918201917;15031,929708670712
47;564992,5059439417;104579,9309354402;27557,093980120717;7791,317256823204;8693,551835676444;4717,752940204232;9406,016103732072
48;345963,0466657065;74414,87884193359;24864,11324999348;6852,381091578977;6272,46442240875;3409,13737993473;6805,980363395437
49;182025,3641586104;28088,068809411063;24450,174073959246;6385,370957033421;3162,067648518099;2639,475678387198;2758,4178824452197
50;163092,05766069435;37122,605194960204;25351,836146227168;6687,5094975207885;2465,124275746183;2193,9489626276454;3760,969911435337
51;489256,44292635296;24581,522430462657;26515,11778232095;7664,260248558177;2764,0138500630546;2109,4196428045057;2766,038198231882
52;639521,9326836062;62603,136445579315;29173,332623947437;8931,427018487053;3755,097589527316;2216,193520475839;6177,787739527652
53;1398262,6666660702;58950,03206291131;35705,567947503994;12034,491928673968;8463,711043624158;3081,8246001684374;5824,676428788665
54;1940540,8828597085;168307,28509383003;46381,19686029505;17392,06244384924;10934,678888667664;5669,820016106959;15288,688510321059
55;2070729,3075414854;214725,55253340153;53922,39329329091;23556,974365708524;14381,154265656862;9105,01530666386;17751,99105982763
56;2819823,0862739524;347589,73494825506;55988,0873445699;28998,871407202532;24030,117226630005;11640,259342562375;28978,839736827653
57;2675048,28779143;275799,9589760664;58407,44302419477;31370,602228149688;27996,715423444068;11800,420159069374;22459,593642381955
58;2836527,5459232237;248010,31900689323;62061,61303136103;28510,6851046128;17292,07224197752;11341,546708600908;20400,58185791037
59;2508307,9678058545;273570,56062572595;63718,120078415246;28070,14518012247;20937,90439347942;11906,558477945047;22462,16871125444
60;2458966,662739452;284523,0822475384;65488,679248896435;28391,569159364346;17657,510946559938;12679,39797347089;23336,114676233763
61;2862217,0389411123;274502,6017509471;66198,25353433998;28049,725303794152;23311,84271256221;13067,088838825146;22263,90747814637
62;2876043,706246105;331782,0168166059;66989,11496915585;28131,404809107382;25473,788602820357;13423,001764396255;27495,676375031777
63;3544705,286680459;304824,09730060457;67993,5740210915;26364,329214992908;17494,842751928456;14185,672319191493;24784,19547706535
64;3393700,79456351;385928,16259211086;68306,96724620985;23391,346479934466;26042,21632778361;14456,420366143806;32009,917066852024
65;4201293,087850785;481066,5182369319;65664,00937723478;19514,973290277376;16777,372500256144;14851,102378250345;41051,01468551597
66;3698301,272132444;407559,72911470075;59485,18556771834;15567,508679329145;19495,98420276819;13468,126438888305;35173,842930704384
67;2910786,84621743;306001,1346542122;51638,59956738846;12514,3590223892;16106,61886087125;11032,665133908833;26468,646388721012
68;1552816,417251735;251725,22855085222;44168,1854829229;10074,183801156425;15123,607060806116;8112,908026634385;22138,989823734755
69;824932,4811625992;156486,52493565754;37860,55280593962;8814,57994838618;11872,891339819984;6176,995935045796;13592,227893336032
70;874272,8842664183;161383,19432103404;33225,18437727347;8066,985587255357;12799,343729399907;4961,80751773871;14215,777190491466
71;498669,150135775;102427,90901280461;28700,86670036516;7939,5504331324;7994,795111015155;4235,999373091903;8765,00577714726
72;301128,6283604653;72907,8258974398;25947,358308243798;7073,596418468979;5831,718397595342;3312,532442994;6300,238357696239
73;291974,543651274;43656,52205439906;25219,275564173913;6406,925270935525;5607,980462875268;2820,609935151068;3936,8707727400297
74;159220,48562490605;30488,07174632693;26083,920719189227;6586,922699310978;4161,642128091313;2324,238515738499;2793,547692594892
75;225659,1077547941;37231,71771127434;27259,457956265283;7525,858864555203;4168,466450131244;2302,6295166859677;3505,9813230684817
76;272235,4563076621;28694,3711683813;30121,766071392645;9063,399922905191;4128,466379548566;2049,041557216549;2668,9301612316553
77;222311,609523331;42410,734081680544;36589,221789757124;12238,690691957047;6755,5156316515595;3106,6113931992845;3998,4995488648183
78;662954,9958592621;95782,94456903373;48744,02670681794;17662,436732270347;13082,584860245192;5413,689821454891;8475,993420574749
79;1769070,2143801807;179929,26770214934;58561,513436543464;24374,52571055669;17820,961151986903;9037,01051552795;14753,268018572206
80;2091305,4178839896;221705,04888919264;61389,305777475834;28944,796549518305;20526,407356944885;11361,24903126645;17774,100636260024
81;2263732,1279596877;170369,88425397064;63733,12693676089;31977,526330129942;13358,818194033458;11125,456718075588;13063,720453832975
82;969066,2738218843;120946,60540210584;67256,23704770846;29318,78280301269;22741,586990800788;10198,176435203706;8693,783940952067
83;2809034,0271477173;103232,99972552562;68364,99376514636;28917,57004774723;5580,998551450951;10641,796474576267;6803,707496063325
84;2878267,296839606;113650,76743161106;69316,17846995496;28976,560801584572;7639,116693741497;11452,769497841877;7500,492339285752
85;2812777,8282752396;133044,2105830751;70440,44227435005;28903,200505145836;7502,436288123096;11907,194036740711;9356,751703953089
86;1698760,9657568154;167696,64539167992;71443,90086906265;29396,302703888672;24334,648796417136;12593,597536056428;12534,960140466932
87;1290619,1332644229;247183,72128627665;72754,24971694383;27977,877590787146;27531,517726476715;13228,520772923464;20046,30894207395
88;2838885,8343597692;295791,1478401677;73259,230500275;25174,682345940008;18393,54651039756;13663,878547952414;24439,46315182329
89;2891432,3912714873;354044,03901915747;70368,15923998515;21230,999193571086;23564,2432075851;14126,56535119486;30171,173279582137
90;2442061,0250468445;260356,62056846663;62394,51517232874;16623,29191467424;19033,218976393684;12868,794494578377;22324,275993818937
91;1164507,5246771346;184073,71685351108;53432,16925399961;13301,280552744913;28520,30064709466;10238,852198126122;15688,286620966308
92;1127916,6410176663;131084,93494227898;45463,77758676417;10869,0463945287;19827,897561777103;7561,242991999158;11253,64568753151
93;731656,0623867454;72377,01657595883;39045,09415802308;9387,092777294662;19165,34675290198;5704,775749868409;5907,807236466445
94;831598,8962567705;107582,38555261375;33938,01014869194;8572,56659930994;19785,886167123495;4755,250909148332;9575,860174549345
95;725396,9556965709;89118,22666878761;29509,98647950158;8155,471718011358;15385,819434182893;4185,79022823455;7835,083827836728
96;409147,92923953803;46160,63508107036;25657,725942172703;7130,696443016656;12297,859217607553;3169,531713969891;3918,7004012777825
97;292675,4156703162;45255,3904735801;24942,148913390873;6681,0810179359505;8565,139589023138;2476,772626697547;3968,6689227989605
98;182637,42240464938;20087,706401252446;25239,534822940546;6801,3314007582085;7800,576894875886;1981,0367660806396;1766,263769114493
